Time, Voltage, c1c, c0c, c1a, c2a
0, 0.71296567, 1417.756, 8.284413, 1057.8586, 8.284413
120, 0.73328656, 1409.4672, 16.573265, 1049.5698, 16.573265
240, 0.7453312, 1401.1775, 24.862959, 1041.2802, 24.862959
360, 0.75398624, 1392.8888, 33.1516, 1032.9915, 33.1516
480, 0.7607959, 1384.6001, 41.440296, 1024.7028, 41.440296
600, 0.7664415, 1376.3103, 49.730087, 1016.41296, 49.730087
720, 0.7712771, 1368.0204, 58.020042, 1008.123, 58.020042
840, 0.7755172, 1359.7316, 66.30885, 999.83417, 66.30885
960, 0.779307, 1351.4441, 74.59638, 991.54663, 74.59638
1080, 0.7827586, 1343.1545, 82.885895, 983.25714, 82.885895
1200, 0.78591764, 1334.8646, 91.17577, 974.9673, 91.17577
1320, 0.78883874, 1326.575, 99.46539, 966.6777, 99.46539
1440, 0.7915683, 1318.2844, 107.7559, 958.38715, 107.7559
1560, 0.7941169, 1309.996, 116.044304, 950.09875, 116.044304
1680, 0.79653186, 1301.7074, 124.33283, 941.81024, 124.33283
1800, 0.79883045, 1293.417, 132.62321, 933.51984, 132.62321
1920, 0.8010014, 1285.1289, 140.91135, 925.2317, 140.91135
2040, 0.80309343, 1276.8392, 149.20102, 916.942, 149.20102
2160, 0.8050903, 1268.5503, 157.48999, 908.653, 157.48999
2280, 0.80701673, 1260.2607, 165.77953, 900.36346, 165.77953
2400, 0.8088724, 1251.9712, 174.06903, 892.074, 174.06903
2520, 0.8106704, 1243.6809, 182.35933, 883.7837, 182.35933
2640, 0.8124046, 1235.3916, 190.64859, 875.49445, 190.64859
2760, 0.8140944, 1227.102, 198.93819, 867.20483, 198.93819
2880, 0.81573105, 1218.8137, 207.22653, 858.9165, 207.22653
3000, 0.81733435, 1210.5247, 215.51556, 850.62744, 215.51556
3120, 0.8188939, 1202.2361, 223.8041, 842.3389, 223.8041
3240, 0.820425, 1193.9465, 232.09363, 834.0494, 232.09363
3360, 0.8219178, 1185.6573, 240.38284, 825.7602, 240.38284
3480, 0.8233841, 1177.3677, 248.67249, 817.4706, 248.67249
3600, 0.8248196, 1169.0784, 256.96182, 809.1812, 256.96182
3720, 0.8262304, 1160.7892, 265.25104, 800.892, 265.25104
3840, 0.8276173, 1152.5001, 273.54004, 792.603, 273.54004
3960, 0.82898295, 1144.2112, 281.82895, 784.31415, 281.82895
4080, 0.83032703, 1135.9227, 290.11743, 776.02563, 290.11743
4200, 0.83166194, 1127.6326, 298.40762, 767.7355, 298.40762
4320, 0.83296895, 1119.3431, 306.69708, 759.446, 306.69708
4440, 0.8342646, 1111.0533, 314.98688, 751.1562, 314.98688
4560, 0.83553314, 1102.7659, 323.27432, 742.8688, 323.27432
4680, 0.8368093, 1094.4761, 331.56412, 734.579, 331.56412
4800, 0.8380567, 1086.1875, 339.85266, 726.2904, 339.85266
4920, 0.839301, 1077.8982, 348.1419, 718.00116, 348.1419
5040, 0.8405357, 1069.608, 356.43207, 709.711, 356.43207
5160, 0.84175235, 1061.3187, 364.7213, 701.42175, 364.7213
5280, 0.84295946, 1053.0305, 373.00958, 693.1335, 373.00958
5400, 0.8441583, 1044.7432, 381.2969, 684.8462, 381.2969
5520, 0.84536076, 1036.4543, 389.58575, 676.5573, 389.58575
5640, 0.84655106, 1028.1652, 397.87494, 668.2681, 397.87494
5760, 0.8477304, 1019.8767, 406.1634, 659.9797, 406.1634
5880, 0.8489058, 1011.5886, 414.45148, 651.6916, 414.45148
6000, 0.8500852, 1003.29895, 422.74118, 643.4019, 422.74118
6120, 0.85125136, 995.00964, 431.0305, 635.1126, 431.0305
6240, 0.85241103, 986.7214, 439.3188, 626.82434, 439.3188
6360, 0.8535741, 978.4326, 447.60754, 618.5356, 447.60754
6480, 0.85473335, 970.1436, 455.8965, 610.2466, 455.8965
6600, 0.8558867, 961.8553, 464.18484, 601.95825, 464.18484
6720, 0.8570411, 953.56696, 472.47314, 593.6699, 472.47314
6840, 0.858197, 945.27814, 480.76196, 585.3811, 480.76196
6960, 0.8593503, 936.98926, 489.05084, 577.0922, 489.05084
7080, 0.86049986, 928.7011, 497.339, 568.8041, 497.339
7200, 0.8616563, 920.4123, 505.62784, 560.51526, 505.62784
7320, 0.86280906, 912.1238, 513.9163, 552.22675, 513.9163
7440, 0.8639641, 903.8354, 522.2047, 543.93835, 522.2047
7560, 0.8651173, 895.5479, 530.4922, 535.6509, 530.4922
7680, 0.8662856, 887.2585, 538.7816, 527.36145, 538.7816
7800, 0.86744374, 878.9701, 547.07, 519.07306, 547.07
7920, 0.8686075, 870.6821, 555.358, 510.7851, 555.358
8040, 0.86977357, 862.39496, 563.64514, 502.4979, 563.64514
8160, 0.8709483, 854.10754, 571.93256, 494.21045, 571.93256
8280, 0.8721341, 845.8185, 580.2216, 485.9214, 580.2216
8400, 0.8733127, 837.5306, 588.5095, 477.6335, 588.5095
8520, 0.87450516, 829.24207, 596.79803, 469.34497, 596.79803
8640, 0.8756946, 820.95496, 605.08514, 461.05786, 605.08514
8760, 0.8769085, 812.66534, 613.37476, 452.76825, 613.37476
8880, 0.87810874, 804.3779, 621.6622, 444.48083, 621.6622
9000, 0.8793342, 796.08887, 629.9513, 436.19174, 629.9513
9120, 0.8805567, 787.80066, 638.2395, 427.90353, 638.2395
9240, 0.8817959, 779.51166, 646.5285, 419.61456, 646.5285
9360, 0.88304317, 771.2223, 654.8179, 411.3252, 654.8179
9480, 0.8842945, 762.9339, 663.10626, 403.0368, 663.10626
9600, 0.88556504, 754.64465, 671.3955, 394.7476, 671.3955
9720, 0.8868427, 746.35565, 679.6845, 386.4586, 679.6845
9840, 0.88813627, 738.0661, 687.97406, 378.16904, 687.97406
9960, 0.8894358, 729.7776, 696.2626, 369.88055, 696.2626
10080, 0.8907573, 721.4884, 704.55176, 361.59137, 704.55176
10200, 0.89209056, 713.1992, 712.84094, 353.30222, 712.84094
10320, 0.89344275, 704.90936, 721.1308, 345.0124, 721.1308
10440, 0.89480436, 696.6205, 729.4197, 336.7235, 729.4197
10560, 0.8961946, 688.33014, 737.71, 328.4332, 737.71
10680, 0.8975926, 680.04083, 745.9993, 320.1439, 745.9993
10800, 0.8990177, 671.751, 754.2892, 311.854, 754.2892
10920, 0.9004583, 663.4618, 762.57837, 303.56482, 762.57837
11040, 0.9019267, 655.1721, 770.86804, 295.27515, 770.86804
11160, 0.90341294, 646.8833, 779.15686, 286.98633, 779.15686
11280, 0.9049257, 638.59503, 787.4451, 278.6981, 787.4451
11400, 0.90646744, 630.30695, 795.7332, 270.40997, 795.7332
11520, 0.908043, 622.0179, 804.0223, 262.1209, 804.0223
11640, 0.9096459, 613.72864, 812.3115, 253.83168, 812.3115
11760, 0.9112826, 605.439, 820.60114, 245.5421, 820.60114
11880, 0.9129499, 597.1501, 828.8901, 237.25316, 828.8901
12000, 0.91465485, 588.8618, 837.17834, 228.96487, 837.17834
12120, 0.9164046, 580.5732, 845.467, 220.67625, 845.467
12240, 0.918193, 572.28534, 853.7548, 212.38841, 853.7548
12360, 0.92004114, 563.9955, 862.0447, 204.09857, 862.0447
12480, 0.9219276, 555.7065, 870.3337, 195.80956, 870.3337
12600, 0.92387354, 547.41736, 878.6228, 187.52042, 878.6228
12720, 0.92587996, 539.12805, 886.9121, 179.2311, 886.9121
12840, 0.9279546, 530.838, 895.20215, 170.94107, 895.20215
12960, 0.9300916, 522.54944, 903.4907, 162.65247, 903.4907
13080, 0.9323139, 514.2609, 911.77924, 154.36395, 911.77924
13200, 0.9346242, 505.9725, 920.0676, 146.07553, 920.0676
13320, 0.9370329, 497.68408, 928.356, 137.78711, 928.356
13440, 0.9395548, 489.39493, 936.6452, 129.49794, 936.6452
13560, 0.9421915, 481.107, 944.93317, 121.21001, 944.93317
13680, 0.94498044, 472.81778, 953.22235, 112.92079, 953.22235
13800, 0.8723543, 481.1072, 944.9329, 121.210205, 944.9329
13920, 0.8697126, 489.39645, 936.6437, 129.49945, 936.6437
14040, 0.86719483, 497.68552, 928.3546, 137.78851, 928.3546
14160, 0.8647882, 505.97412, 920.06604, 146.07712, 920.06604
14280, 0.86247206, 514.26385, 911.7763, 154.36687, 911.7763
14400, 0.86024636, 522.5542, 903.48596, 162.6572, 903.48596
14520, 0.8581039, 530.84424, 895.1959, 170.94727, 895.1959
14640, 0.85603696, 539.1333, 886.90686, 179.23634, 886.90686
